Player,#,Pos,HT,WT,Age,Exp,College,status
Israel Abanikanda,20,RB,5-10,216,22,2,Pittsburgh,Active
Brandon Allen,17,QB,6-2,209,32,8,Arkansas,Active
Evan Anderson,69,DL,6-3,326,23,R,Florida Atlantic,Active
Tre Avery,36,CB,5-11,181,28,3,Rutgers,Active
Robert Beal Jr.,51,DL,6-4,250,25,2,Georgia,Active
Tatum Bethune,48,LB,6-0,299,24,R,Florida State,Active
Nick Bosa,97,DL,6-4,266,27,6,Ohio State,Active
Jake Brendel,64,OL,6-4,299,32,7,UCLA,Active
Ji'Ayir Brown,27,S,5-11,202,25,2,Penn State,Active
Chris Conley,18,WR,6-3,205,32,10,Georgia,Active
Jacob Cowing,19,WR,5-9,171,24,R,Arizona,Active
Kalia Davis,93,DL,6-2,310,26,3,Central Florida,Active
Khalil Davis,50,DL,6-2,315,28,4,Nebraska,Active
Joshua Dobbs,5,QB,6-3,220,30,8,Tennessee,Active
Jordan Elliott,92,DL,6-4,303,27,5,Missouri,Active
Luke Farrell,89,TE,6-5,250,27,4,Ohio State,Active
Tashaun Gipson Sr.,43,S,6-1,212,34,13,Wyoming,Active
Jalen Graham,41,LB,6-3,220,25,2,Purdue,Active
Richie Grant,27,S,6-0,200,27,4,UCF,Active
Renardo Green,0,CB,6-0,186,24,R,Florida State,Active
Yetur Gross-Matos,94,DL,6-5,265,27,5,Penn State,Active
Isaac Guerendo,31,RB,6-0,221,24,R,Louisville,Active
Charlie Heck,75,OL,6-8,311,28,5,North Carolina,Active
Matt Hennessy,61,OL,6-3,315,27,4,Temple,Active
Jauan Jennings,15,WR,6-3,212,27,4,Tennessee,Active
Mac Jones,10,QB,6-3,200,26,4,Alabama,Active
George Kittle,85,TE,6-4,250,31,8,Iowa,Active
Deommodore Lenoir,2,DB,5-10,200,25,4,Oregon,Active
Nick McCloud,35,CB,6-1,193,26,4,Notre Dame,Active
Colton McKivitz,68,OL,6-6,301,28,5,West Virginia,Active
Jake Moody,4,K,6-1,210,25,2,Michigan,Active
Malik Mustapha,6,S,5-10,206,22,R,Wake Forest,Active
Pat O'Donnell,40,P,6-4,220,34,10,Miami,Active
Sam Okuayinonu,91,DL,6-1,269,26,2,Maryland,Active
Ricky Pearsall,14,WR,6-3,192,24,R,Florida,Active
Jason Pinnock,41,CB,6-0,205,25,4,Pittsburgh,Active
Austen Pleasants,62,OT,6-7,328,27,1,Ohio,Active
Dominick Puni,77,OL,6-5,313,25,R,Kansas,Active
Brock Purdy,13,QB,6-1,220,25,3,Iowa State,Active
Demarcus Robinson,14,WR,6-1,203,30,9,Florida,Active
Eric Saubert,82,TE,6-5,248,30,7,Drake,Active
Patrick Taylor Jr.,32,RB,6-2,217,26,4,Memphis,Active
Tre Tomlinson,,CB,5-9,177,25,2,TCU,Active
Jake Tonges,88,TE,6-4,240,25,2,California,Active
Fred Warner,54,LB,6-3,230,28,7,Brigham Young,Active
Jon Weeks,46,LS,5-10,245,39,15,Baylor,Active
Brayden Willis,9,TE,6-4,240,25,2,Oklahoma,Active
Dee Winters,53,LB,5-11,227,24,2,TCU,Active
Rock Ya-Sin,33,CB,5-11,195,28,6,Temple,Active
Isaac Yiadom,22,CB,6-1,232,29,7,Boston College,Active
Nick Zakelj,63,OL,6-6,316,25,3,Fordham,Active
Player,#,Pos,HT,WT,Age,Exp,College,Reserve/Future
Isaac Alarcon,67,OL,6-7,320,26,1,Tecnológico de Monterrey,Reserve/Future
Russell Gage,84,WR,6-0,184,29,7,LSU,Reserve/Future
Isaiah Hodgins,87,WR,6-3,200,26,4,Oregon State,Reserve/Future
Quindell Johnson,,S,6-2,208,25,2,Memphis,Reserve/Future
Jalen McKenzie,76,OT,6-5,315,25,1,USC,Reserve/Future
Brandon Aiyuk,11,WR,6-0,200,27,5,Arizona State,Reserve/Injured
Aaron Banks,65,OL,6-5,325,27,4,Notre Dame,Reserve/Injured
Ben Bartch,78,OL,6-6,315,26,5,St. John's (MN),Reserve/Injured
Tre Brown,22,CB,5-10,185,27,4,Oklahoma,Reserve/Injured
Spencer Burford,74,OL,6-4,300,24,3,Texas-San Antonio,Reserve/Injured
Luke Gifford,57,LB,6-3,243,29,6,Nebraska,Reserve/Injured
Kevin Givens,90,DL,6-1,285,28,5,Penn State,Reserve/Injured
Darrell Luter Jr.,28,CB,6-0,190,24,2,South Alabama,Reserve/Injured
Jordan Mason,24,RB,5-11,223,25,3,Georgia Tech,Reserve/Injured
Christian McCaffrey,23,RB,5-11,210,28,8,Stanford,Reserve/Injured
Elijah Mitchell,25,RB,5-10,200,26,4,Louisiana,Reserve/Injured
Jaylon Moore,76,OL,6-4,311,27,4,Western Michigan,Reserve/Injured
George Odum,30,S,6-1,202,31,7,Central Arkansas,Reserve/Injured
Curtis Robinson,36,LB,6-3,235,26,3,Stanford,Reserve/Injured
Trent Williams,71,T,6-5,320,36,15,Oklahoma,Reserve/Injured
Mitch Wishnowsky,3,P,6-2,220,33,6,Utah,Reserve/Injured
