game_id,player_id,player_name,posteam,air_yards,yards_after_catch,cpoe,qb_epa,pass_attempts,complete_passes,avg_air_yards_x,avg_yac_x,pass_location_left,pass_location_middle,pass_location_right,pass_length_short,pass_length_medium,pass_length_deep,rush_attempts,first_downs_rush,xyac_mean,xyac_median,xyac_success_rate,rush_epa,run_location_left,run_location_middle,run_location_right,run_gap_guard,run_gap_tackle,run_gap_end,receiving_attempts,first_downs_receiving,receiving_epa,avg_yac_y,avg_air_yards_y,solo_tackles,assisted_tackles,tackles_for_loss,qb_hits,sacks,interceptions,forced_fumbles,fumble_recoveries,pass_defenses,position,team
2024_01_NYJ_SF,00-0035719,D.Samuel,SF,0.0,0.0,0.0,-2.089832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,-0.67271006,2.0,1.0,5.0,2.0,1.0,4.0,9.0,3.0,-1.2348499,7.0,9.222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
2024_01_NYJ_SF,00-0037834,B.Purdy,SF,282.0,65.0,1.223947,6.501399,31.0,19.0,9.724138,3.4210527,11.0,4.0,14.0,23.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.66162306,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_02_SF_MIN,00-0037834,B.Purdy,SF,307.0,88.0,8.449785,0.5646054,42.0,28.0,8.527778,3.142857,18.0,9.0,9.0,28.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,-1.5915335,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_03_SF_LA,00-0037834,B.Purdy,SF,328.0,42.0,8.3491335,14.322098,31.0,22.0,10.933333,1.9090909,15.0,7.0,8.0,23.0,0.0,7.0,10.0,4.0,0.0,0.0,0.0,1.5727233,3.0,4.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_04_NE_SF,00-0037834,B.Purdy,SF,382.0,91.0,2.7807364,6.9550357,28.0,15.0,14.148149,6.0666666,13.0,8.0,6.0,18.0,0.0,9.0,5.0,2.0,0.0,0.0,0.0,-0.6365359,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_05_ARI_SF,00-0037834,B.Purdy,SF,301.0,103.0,-2.797041,-0.8968394,37.0,19.0,8.6,5.4210525,10.0,10.0,15.0,29.0,0.0,6.0,4.0,3.0,0.0,0.0,0.0,2.6440792,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_06_SF_SEA,00-0037834,B.Purdy,SF,208.0,127.0,1.1455575,11.726026,28.0,18.0,7.428571,7.0555553,11.0,8.0,9.0,24.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,2.269924,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_07_KC_SF,00-0037834,B.Purdy,SF,288.0,77.0,-9.561323,-10.695416,33.0,17.0,9.290322,4.529412,9.0,9.0,13.0,23.0,0.0,8.0,8.0,4.0,0.0,0.0,0.0,3.2783353,2.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_08_DAL_SF,00-0037834,B.Purdy,SF,193.0,146.0,2.902199,7.3219767,28.0,18.0,7.423077,8.111111,8.0,6.0,12.0,20.0,0.0,6.0,8.0,5.0,0.0,0.0,0.0,0.6738467,4.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_10_SF_TB,00-0037834,B.Purdy,SF,252.0,172.0,8.745182,17.42039,39.0,25.0,7.0,6.88,13.0,12.0,10.0,32.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,1.200601,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_11_SEA_SF,00-0037834,B.Purdy,SF,153.0,53.0,1.9846971,0.76701754,30.0,21.0,5.464286,2.5238094,11.0,10.0,7.0,27.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,4.637245,2.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_12_SF_GB,00-0032434,B.Allen,SF,214.0,116.0,-3.8751414,-10.667564,31.0,17.0,7.37931,6.8235292,9.0,8.0,12.0,24.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,-0.9902776,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,QB,SF
2024_13_SF_BUF,00-0037834,B.Purdy,SF,91.0,63.0,-8.119931,-6.686323,20.0,11.0,5.0555553,5.7272725,7.0,4.0,6.0,14.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,-1.0874774,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_14_CHI_SF,00-0032434,B.Allen,SF,27.0,0.0,-33.222153,-1.6866125,1.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_14_CHI_SF,00-0037834,B.Purdy,SF,237.0,158.0,16.902557,22.780807,26.0,20.0,9.48,7.9,9.0,7.0,9.0,18.0,0.0,7.0,5.0,2.0,0.0,0.0,0.0,0.060688794,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_15_LA_SF,00-0037834,B.Purdy,SF,372.0,71.0,-19.976582,-10.5665455,34.0,14.0,12.0,5.071429,13.0,11.0,7.0,22.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.5765568,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
2024_16_SF_MIA,00-0037834,B.Purdy,SF,185.0,202.0,-1.383752,4.943433,43.0,26.0,4.625,7.769231,14.0,12.0,12.0,34.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.2696196,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,SF
